bill	chamber	roll	vote_date	tally	scope	disposition	reason	title
SB2037	house	1545160	2025-04-10	66-26	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Delinquency; to provide an appropriation; and to provide a penalty.
SB2039	senate	1473997	2025-01-23	33-14	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	The definition of agricultural property and the farm structure and improvements property tax exemption; and to provide an effective date.
SB2054	house	1511962	2025-03-10	25-67	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The master jury list; and to provide a contingent effective date.
SB2057	house	1526789	2025-03-25	64-24	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Court fees.
SB2062	senate	1472170	2025-01-17	36-11	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Bidding requirements for construction contracts.
SB2069	senate	1550374	2025-04-16	32-15	A:enacted	batch-02	imported	Publication requirements for legal notices.
SB2084	house	1519998	2025-03-18	72-21	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Authorized travel expense and lodging reimbursement rates.
SB2086	house	1521430	2025-03-19	68-25	A:enacted	dropped:filter-5	Read in full. Almost entirely definitional modernizing of the pesticide chapter, plus certification standards. Technical, with no direction to score.	Pesticide control.
SB2093	senate	1564365	2025-05-01	11-35	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	An income tax deduction for retired law enforcement personnel benefits; and to provide for retroactive application.
SB2095	senate	1472065	2025-01-16	14-33	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Excusing law enforcement officers from jury duty; and to provide for application.
SB2097	house	1549449	2025-04-15	20-72	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The creation of a rural community endowment fund and a rural community endowment fund committee; to provide an appropriation for the rural c
SB2097	senate	1494441	2025-02-19	31-16	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The creation of a rural community endowment fund and a rural community endowment fund committee; to provide an appropriation for the rural c
SB2099	senate	1473417	2025-01-22	14-33	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Cardiac arrest prevention and education for student athletes and coaches.
SB2104	house	1537345	2025-04-04	44-47	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	School district compliance with education-related law and rule.
SB2105	house	1524347	2025-03-21	40-44	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The administration of surveys to students in kindergarten through grade twelve schools.
SB2105	senate	1496031	2025-02-20	25-22	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The administration of surveys to students in kindergarten through grade twelve schools.
SB2106	senate	1484132	2025-02-07	18-29	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Weather modification; and to provide a penalty.
SB2109	house	1530520	2025-03-28	70-20	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The definition of disability, the definition of electronic means, forms and decisions issued by electronic means, requests for rehearing of
SB2112	house	1538465	2025-04-07	65-25	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	The life skills and transition center; to provide for a legislative management report; to provide for a department of health and human servi
SB2112	senate	1552577	2025-04-21	36-11	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	The life skills and transition center; to provide for a legislative management report; to provide for a department of health and human servi
SB2115	senate	1472165	2025-01-17	18-29	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Limitation of liability for children residing at the Heart River correctional center.
SB2128	house	1536225	2025-04-03	41-52	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Transparent sentencing of criminal offenders, transfer of persons between correctional facilities, work release eligibility and conditions f
SB2128	senate	1499571	2025-02-25	28-18	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Transparent sentencing of criminal offenders, transfer of persons between correctional facilities, work release eligibility and conditions f
SB2131	senate	1491609	2025-02-17	16-29	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Workforce training center funding distribution.
SB2137	house	1546194	2025-04-11	56-34	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The use of supplemental feed for hunting; and to provide an expiration date.
SB2137	senate	1476682	2025-01-29	31-15	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	The use of supplemental feed for hunting; and to provide an expiration date.
SB2147	house	1559530	2025-04-28	63-26	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The skilled workforce student loan repayment and scholarship programs, Native American scholarships, and the North Dakota scholarship; and t
SB2155	senate	1549161	2025-04-15	30-16	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Gratis antelope licenses.
SB2158	house	1537254	2025-04-04	59-31	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The distribution of the unobligated cash balance of a dissolved school district.
SB2159	house	1543022	2025-04-09	57-32	A:enacted	batch-02	imported	Projects the state energy research center is permitted to pursue.
SB2160	house	1550013	2025-04-16	55-37	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Health insurance benefits coverage provided by the uniform group insurance program; to provide an appropriation; to provide for a statement
SB2160	senate	1564387	2025-05-01	31-15	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Health insurance benefits coverage provided by the uniform group insurance program; to provide an appropriation; to provide for a statement
SB2166	senate	1477661	2025-01-30	13-32	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A property tax information portal; to provide a report; and to provide an appropriation.
SB2174	house	1526600	2025-03-25	66-25	A:enacted	batch-02	imported	The regulation of odors in an animal feeding operation and zoning authority over animal feeding operations in counties and townships; and to
SB2177	house	1518882	2025-03-17	71-21	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	County budget limits and the allocation of sales tax revenue; to provide a continuing appropriation; and to provide an expiration date.
SB2181	senate	1477642	2025-01-30	16-29	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Workers' compensation coverage for posttraumatic stress disorder; to provide for application; and to provide an expiration date.
SB2184	senate	1478405	2025-01-31	18-26	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Additional parenting time after a false allegation of harm to a child.
SB2186	senate	1550230	2025-04-16	27-20	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Interference with court-ordered parenting time; to create a child custody review task force; to provide for a legislative management report;
SB2188	house	1561427	2025-04-29	65-26	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The membership of the clean sustainable energy authority and the clean sustainable energy fund line of credit; and to provide for a transfer
SB2192	senate	1490666	2025-02-14	13-31	C:failed-vote	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	A BILL for an Act to provide an appropriation to the department of health and human services for accreditation grants for community provider
SB2197	senate	1475071	2025-01-27	15-32	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Deer hunting with a crossbow.
SB2205	house	1518675	2025-03-17	67-25	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The charitable gaming operating fund.
SB2206	senate	1482284	2025-02-05	9-36	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Civil actions having three-year limitations.
SB2208	senate	1496851	2025-02-21	19-27	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The state share of oil and gas tax revenue allocations, the municipal infrastructure fund, and the county and township infrastructure fund.
SB2213	house	1557560	2025-04-24	63-30	A:enacted	batch-02	imported	Mathematics curriculum, professional development, screening and intervention, related administrative rules and reporting requirements, and m
SB2213	senate	1555429	2025-04-23	31-16	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	Mathematics curriculum, professional development, screening and intervention, related administrative rules and reporting requirements, and m
SB2214	senate	1498520	2025-02-24	29-18	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	The insurance commissioner assuming the duties of the securities commissioner; to provide for a transfer; to provide an effective date; and
SB2215	senate	1498456	2025-02-24	19-28	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Limitations on the introduction of legislative bills prepared by executive branch agencies and the judicial branch.
SB2216	house	1541093	2025-04-08	67-26	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Waterfowl habitat restoration stamp fees and the waterfowl habitat improvement fund.
SB2218	house	1537292	2025-04-04	68-22	A:enacted	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	AN ACT to provide an appropriation to the insurance commissioner for a North Dakota firefighter's association grant; and to declare an emerg
SB2220	senate	1476641	2025-01-29	10-36	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The implementation of operational guidelines and training for law enforcement officers and state's attorneys addressing the crimes of human
SB2224	senate	1476832	2025-01-29	25-21	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The gaming commission, gaming stamp requirements, and the attorney general's regulation of gaming; to provide a penalty; and to provide an a
SB2225	house	1553177	2025-04-21	65-28	B:passed-chamber-died	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	A BILL for an Act to provide an appropriation to the department of commerce for a housing for opportunity, mobility, and empowerment program
SB2225	senate	1570050	2025-05-02	20-26	C:failed-vote	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	A BILL for an Act to provide an appropriation to the department of commerce for a housing for opportunity, mobility, and empowerment program
SB2231	house	1529283	2025-03-27	33-59	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Covered services for medical assistance.
SB2232	house	1541082	2025-04-08	57-36	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Reporting requirements for prenatal exposure to alcohol misuse.
SB2238	senate	1485325	2025-02-10	35-12	A:enacted	dropped:filter-5	Screened. Sealing eviction records is eviction procedure, which the Maryland HB 767 retraction put outside housing_affordability.	Sealing of eviction records.
SB2241	house	1540074	2025-04-08	64-29	A:enacted	dropped:filter-5	Screened. Public charter schools. School choice financing has no honest direction under the standing campaign rule, and `general` is barred.	The authorization and administration of public charter schools; and to provide for a legislative management report.
SB2243	senate	1496920	2025-02-21	34-12	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The amount of statutory fees, entries against a driving record, points assigned to driving records, limitations on city fines and penalties,
SB2244	house	1531625	2025-03-31	41-49	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A parent's interest in a child's upbringing.
SB2244	senate	1482459	2025-02-05	36-9	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A parent's interest in a child's upbringing.
SB2253	house	1523375	2025-03-20	54-40	A:enacted	dropped:filter-5	Read in full. Its substance is a noise rule on engine compression brakes in posted zones. No research area fits a local noise ordinance.	The definition of a moving violation; and to provide a penalty.
SB2253	senate	1527915	2025-03-26	36-11	A:enacted	dropped:filter-5	Read in full. Its substance is a noise rule on engine compression brakes in posted zones. No research area fits a local noise ordinance.	The definition of a moving violation; and to provide a penalty.
SB2256	house	1551808	2025-04-17	61-30	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	A research technology park grant program; to provide an appropriation; and to provide for a report.
SB2256	senate	1564364	2025-05-01	31-15	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	A research technology park grant program; to provide an appropriation; and to provide for a report.
SB2258	senate	1498077	2025-02-24	30-17	done:batch-01	batch-01	imported	The enforcement of agency rules.
SB2261	house	1517336	2025-03-13	56-33	B:passed-chamber-died	dropped:study-only	Directs a study; the measure changes no law.	A prison industries workforce development income tax credit; to provide for a legislative management study; and to provide an effective date
SB2269	house	1533439	2025-04-01	56-32	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Recall petitions and recall elections for political subdivision officials.
SB2275	house	1516547	2025-03-12	68-24	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A pilot program to provide grants to schools that provide instruction in a foreign language to students in kindergarten through grade three;
SB2281	house	1516189	2025-03-12	21-70	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The definition of alternative tobacco products, transfer and allocation of tobacco products tax revenue and tax on cigarettes; to provide a
SB2281	senate	1498449	2025-02-24	26-21	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The definition of alternative tobacco products, transfer and allocation of tobacco products tax revenue and tax on cigarettes; to provide a
SB2285	house	1518112	2025-03-14	31-57	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Judicial deference.
SB2293	house	1524083	2025-03-21	62-22	A:enacted	dropped:filter-5	Screened. Medical marijuana container sizes and records. Same reason as HB 1203.	Medical marijuana container sizes, caregivers, and documentation.
SB2294	house	1554368	2025-04-22	72-21	A:enacted	dropped:filter-5	Screened. Medical marijuana amounts and records. Same reason as HB 1203.	Allowable amounts of usable medical marijuana, medical marijuana recordkeeping, cannabinoid edible products, patient qualifications, and dis
SB2294	senate	1550040	2025-04-16	34-13	A:enacted-superseded-or-failed	dropped:filter-5	Screened. Medical marijuana amounts and records. Same reason as HB 1203.	Allowable amounts of usable medical marijuana, medical marijuana recordkeeping, cannabinoid edible products, patient qualifications, and dis
SB2303	senate	1490670	2025-02-14	20-24	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	An education savings account program.
SB2306	senate	1485568	2025-02-10	11-36	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The establishment of a child care workforce recruitment and retention program.
SB2307	house	1547459	2025-04-14	49-45	B:passed-chamber-died	batch-03	imported	Obscenity control; to provide for a report to the legislative management; and to provide a penalty.
SB2307	senate	1558253	2025-04-25	25-20	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Obscenity control; to provide for a report to the legislative management; and to provide a penalty.
SB2308	senate	1557814	2025-04-24	27-19	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	Occupational and professional boards, the midwest interstate passenger rail compact, prison industry advisory committee, energy policy commi
SB2317	house	1526651	2025-03-25	42-49	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The revocation of a transfer of township zoning authority.
SB2317	senate	1495812	2025-02-20	27-20	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The revocation of a transfer of township zoning authority.
SB2319	senate	1487963	2025-02-12	21-26	C:failed-vote	dropped:study-only	Directs a study; the measure changes no law.	A BILL for an Act to provide for a legislative management study relating to periodically reconvened sessions of the legislative assembly.
SB2320	senate	1483385	2025-02-06	10-36	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The carbon dioxide pipeline tax exemption; and to provide an effective date.
SB2321	house	1531464	2025-03-31	39-51	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Awarding costs and fees in eminent domain proceedings.
SB2322	senate	1485314	2025-02-10	21-26	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The exercise of public domain in geological storage of carbon dioxide.
SB2328	senate	1492832	2025-02-18	21-24	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The bioscience innovation grant program; to provide a report; to provide a continuing appropriation; to provide an appropriation; to provide
SB2331	senate	1488380	2025-02-12	14-33	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The Theodore Roosevelt national park working group; to provide a report; and to provide an appropriation.
SB2333	house	1537253	2025-04-04	65-25	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Ethanol production incentives; to provide a continuing appropriation; to provide for a transfer; and to provide for a report.
SB2334	senate	1477670	2025-01-30	34-11	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	The definition of alcoholic beverage establishment for purposes of conducting gaming; and to provide for a legislative management study.
SB2339	house	1552324	2025-04-18	62-28	done:batch-01	batch-01	imported	Strict liability and a wildfire mitigation plan of a qualified utility; and to provide for a report.
SB2347	senate	1489509	2025-02-13	16-31	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The authorization of historic horse race wagering and the elimination of simulcast dog racing under the certificate system; and to provide a
SB2348	house	1530325	2025-03-28	72-19	A:enacted	dropped:filter-5	Read in full. Lets a health care sharing ministry satisfy a college coverage requirement. Cheaper for students but a sharing ministry is not insurance and need not pay, and the area's own words include quality of care.	The acceptance of health care sharing ministries by an institution of higher education and health care sharing ministries' exemptions from i
SB2349	senate	1498539	2025-02-24	17-30	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Limitations on the introduction of legislative bills prepared by executive branch agencies and the judicial branch.
SB2350	senate	1498474	2025-02-24	22-25	C:failed-vote	batch-04	imported	An exemption from open records for employee performance and discipline records contained in personnel records.
SB2352	house	1528344	2025-03-26	48-42	done:batch-01	batch-01	imported	Authorization for children of inmates to reside at the Heart River correctional center.
SB2352	senate	1496125	2025-02-20	28-18	done:batch-01	batch-01	imported	Authorization for children of inmates to reside at the Heart River correctional center.
SB2354	house	1538822	2025-04-07	61-29	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	The use of personal electronic devices in schools providing prekindergarten, elementary, or secondary education.
SB2355	senate	1498482	2025-02-24	22-25	C:failed-vote	batch-04	imported	Intelligent design in science content standards for elementary and secondary students.
SB2363	senate	1499602	2025-02-25	23-23	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The determination of state aid payments, state aid minimum local effort, the protection of taxpayers and taxing districts, voter approval of
SB2364	senate	1498542	2025-02-24	20-27	C:failed-vote	dropped:study-only	Directs a study; the measure changes no law.	A BILL for an Act to provide for a legislative management study relating to the property rights of entitlement holders in Uniform Commercial
SB2365	house	1516433	2025-03-12	42-49	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Twenty-four seven sobriety program fees.
SB2369	house	1521697	2025-03-19	67-26	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Exempt sales from educational, religious, or charitable activities conducted by a nonprofit organization in a publicly or privately owned fa
SB2370	house	1551690	2025-04-17	65-27	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	AN ACT to provide for a legislative management study regarding prescription drug transparency reporting under the federal drug discount prog
SB2376	senate	1490675	2025-02-14	15-29	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A tribal-state gaming compact that permits gaming in Grand Forks County.
SB2378	senate	1498467	2025-02-24	16-31	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Limitations on taxing district budgets without voter approval; and to provide an effective date.
SB2379	house	1529425	2025-03-27	69-23	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The surveying process during eminent domain proceedings.
SB2379	senate	1496901	2025-02-21	25-22	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	The surveying process during eminent domain proceedings.
SB2381	house	1519197	2025-03-17	24-68	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Driver's license fees.
SB2382	house	1523881	2025-03-20	72-21	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Vexatious litigation; and to declare an emergency.
SB2383	senate	1494363	2025-02-19	12-35	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The definition of equal decisionmaking responsibility and equal parenting time, the best interests of the child factors, and the residence o
SB2384	senate	1495874	2025-02-20	24-23	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The maintenance of electronic pull tab devices and the elimination of dog racing; and to provide an effective date.
SB2390	house	1560277	2025-04-29	72-18	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Definitions for regional planning councils; to provide an appropriation; and to provide for a transfer.
SB2398	house	1527784	2025-03-26	73-19	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The establishment of military impact zones and military compatibility committees.
SB2400	senate	1496837	2025-02-21	25-22	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Exceptions to compulsory school attendance; to provide a penalty; to provide an appropriation; and to provide a continuing appropriation.
SCR4007	house	1557671	2025-04-24	57-36	A:enacted	dropped:filter-5	Read in full. Would require a constitutional amendment to cover a single subject, and went to the June 2026 primary ballot. Same Arkansas rule as HCR 3003; also a ballot claim whose outcome this pass could not verify.	Requiring each resolution adopted by the legislative assembly proposing a constitutional amendment and each initiative petition and measure
SCR4008	house	1534525	2025-04-02	53-39	A:enacted	dropped:filter-5	Read in full. Would set legislative term limits and goes to the voters. No research area covers term limits.	Prohibiting the legislative assembly from proposing certain amendments to article XV of the Constitution of North Dakota, and to provide for
SCR4008	senate	1518669	2025-03-17	24-23	A:enacted	dropped:filter-5	Read in full. Would set legislative term limits and goes to the voters. No research area covers term limits.	Prohibiting the legislative assembly from proposing certain amendments to article XV of the Constitution of North Dakota, and to provide for
SCR4023	senate	1498137	2025-02-24	21-26	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The statewide property tax levy of one mill for support of the state medical center at the University of North Dakota; and to provide an eff
SCR4028	senate	1519108	2025-03-17	19-28	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Cumulative term limits for members of the legislative assembly and the office of governor, and legislative authority, and initiative petitio
